Id,Class,Preferred_EX_Length,Reason_Used,Process_Difficulty,Comfortability,Importance_Meeting_OG_Deadline,Pressure_Meeting_OG_Deadline,Pressure_Felt_To_CompleteHW,Importance_Meeting_Deadlines_OtherClasses,Importance_Meeting_Deadlines_OtherClasses_STRICT,Extension_Pressure_Impact,Preferred_HW_EX_AMT,Preferred_Read_EX_AMT,HW_ImportanceValue,Reason_One_EX_Leftover,Reason_No_EX_Used,Majority_of_Homework_DoneBy,Extension_Impact_onQuality,Strict_Deadline_Effect,Extensions_In_All_CSCSFE,Extensions_In_AllCourses,Year,Age,Est_GPA,HS_Type,Final_Score,Extension_1,Extension_2,Total_Extensions
1,CSC 144: Object Oriented Programming,3 Days,"It was the end of the semester, I was with a girl and I got all my work done except the reading. I decided to take an extension and do it later.;",Very Straightforward and Easy,Very comfortable,Extremely Important,Exceptionally High Pressure,Zero Pressure,Extremely Important,Exceptionally High Pressure,Eliminated the pressure completely,2,3,not at all,"I didn't need it, so I didn't take it;",,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,No;,Freshman,18,3.5 - 4.0,Homeschool;,86.36,0,0,0
2,CSC 261: Databases,One week,I didn't take an extension at all;,,,Extremely Important,,,,Exceptionally High Pressure,,2,2,not at all,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;",3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,Yes;,Junior,19,3.5 - 4.0,Private Religious High School;,98.55,0,0,0
3,CSC 144: Object Oriented Programming,3 Days,Emergency or family concerns;I had other assignments due around the same time;,Very Straightforward and Easy,Very uncomfortable,Extremely Important,,,Extremely Important,,,3,1,not at all,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;",,3 days before the deadline,,,Yes;,Yes;,Freshman,19,,Private Religious High School;,94.96,0,0,0
4,CSC 261: Databases,One week,"Emergency or family concerns;I waited too long to start the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",Very Straightforward and Easy,Somewhat uncomfortable,,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,Yes;,Sophomore,19,3.5 - 4.0,Homeschool;,102.65,1,1,2
5,CSC 261: Databases,One week,I didn't take an extension at all;,,,Extremely Important,,,Extremely Important,Exceptionally High Pressure,,3,2,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;",LESS THAN 1 day before the deadline,,This policy would make the course significantly worse,Yes;,Yes;,Junior,20,3.5 - 4.0,Public High School;,102.48,0,0,0
6,CSC 144: Object Oriented Programming,More than one week,"I had other assignments due around the same time;I started the assignment early enough, but waited too long to get most of it done;Midterms were around the corner and needed to study more than work on assignments.;",Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,,Extremely Important,,,2,1,"yes, a little bit",,,3 days before the deadline,,This policy would make the course significantly worse,Yes;,No;,Senior,24+,3.5 - 4.0,Private Religious High School;,99.06,1,1,2
7,CSC 261: Databases,One week,"I started the assignment early enough, but waited too long to get most of it done;I wanted more time to do a better job on the assignment, or get more work done on it;It was convenient! ;",,Very comfortable,,,,,,,2,2,not really,,,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,"Yes, but with changes (include changes in ""other"" option below);maybe only one per week for other majors;",Freshman,18,3.0 - 3.49,Homeschool;,99.75,1,0,1
8,CSC 261: Databases,One week,I had other assignments due around the same time;I waited too long to start the assignment;,Very Straightforward and Easy,Very uncomfortable,,,,,,,2,2,not at all,,,1 day before the deadline,,This policy would not impact the quality of the course overall,Yes;,Yes;,Senior,22,3.5 - 4.0,Private Non-Religious High School;Public High School;,105.05,1,1,2
9,CSC 261: Databases,One week,"I had other assignments due around the same time;Emergency or family concerns;I wanted more time to do a better job on the assignment, or get more work done on it;",Very Straightforward and Easy,Very comfortable,Extremely Important,Zero Pressure,Zero Pressure,Extremely Important,Zero Pressure,It increased the pressure greatly,2,2,not at all,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,Yes;,Senior,21,3.0 - 3.49,Homeschool;,104.8,1,1,2
10,CSC 261: Databases,3 Days,"I had other assignments due around the same time;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",Very Straightforward and Easy,Somewhat uncomfortable,,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,It increased the pressure greatly,3,3,not really,"I wanted to save it for an emergency;I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;",,2 days before the deadline,Made the course significantly better,This policy would not impact the quality of the course overall,Yes;,Yes;,Freshman,19,3.5 - 4.0,Homeschool;,100.37,1,0,1
