ID,Section,Reading Extension #1 (119091),Reading Extension #2 (119096),Quest Log Extension #1 (119093),Quest Log Extension #2 (119097),ABET assessment (139026),Module 1 Reading (114068),Module 2 Reading (114070),Module 3 Reading (114115),Module 4 Reading (114214),Module 5 Readings (114277),Module 6 Reading (119173),Module 7 Reading (119174),Module 8 Reading (119742),Module 9 Reading (119344),Github username (126025),Getting Set Up With Visual Studio (before our first class) (113781),Module 1 Quest Log (113791),Module 2 Quest Log (119772),Module 3 Quest Log (119773),Module 4 Quest Log (119774),Module 5 Quest Log (119775),Module 6 Quest Log (119776),Module 7 Quest Log (119777),Module 8 Quest Log (119778),Module 9 Quest Log (119779),Python to C++ Mini Project (129024),Exam 1 Cheat Sheet (119145),Exam 1 (128629),Exam 1 Bonuses (127016),Extensions Bonus survey (132462),Exam 2 Cheat Sheet (119146),Exam 2 Bonuses (130472),Final Exam Cheat Sheet (119147),final exam bonuses (130523),Final exam written part (133585),Final exam coding part (133586),Course Eval Bonus (135312),Extension Requests Current Score,Extension Requests Unposted Current Score,Extension Requests Final Score,Extension Requests Unposted Final Score,Readings Current Score,Readings Unposted Current Score,Readings Final Score,Readings Unposted Final Score,Quest Logs Current Score,Quest Logs Unposted Current Score,Quest Logs Final Score,Quest Logs Unposted Final Score,Exam 1 Current Score,Exam 1 Unposted Current Score,Exam 1 Final Score,Exam 1 Unposted Final Score,Exam 2 Current Score,Exam 2 Unposted Current Score,Exam 2 Final Score,Exam 2 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Attendance and Participation Current Score,Attendance and Participation Unposted Current Score,Attendance and Participation Final Score,Attendance and Participation Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
points possible,,1,1,1,1,0,100,100,100,100,100,100,100,100,100,10,20,100,100,120,105,85,100,80,70,60,200,10,87,0,0,0,0,0,0,60,70,0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
PERAR,Object Oriented Programming,1,,1,,,100,100,100,100,100,100,100,0,100,10,20,110,90,140,120,50,0,0,0,80,N/A,,92,4,0,,9.1,0,3.9,39,40,0,100,100,50,50,88.89,88.89,88.89,88.89,72.94,72.94,72.94,72.94,110.34,110.34,98.97,98.97,,,,,70.77,70.77,70.77,70.77,,,,,82.38,82.38,80.1,80.1,B-,B-,B-,B-
HEYCO,Object Oriented Programming,1,1,1,,,100,100,100,85,100,100,100,100,0,10,20,110,105,130,135,100,130,20,90,70,N/A,,92,4,3,,20.8,0,16.9,49,75,0,100,100,75,75,87.22,87.22,87.22,87.22,108.24,108.24,108.24,108.24,110.34,110.34,98.97,98.97,,,,,126.69,126.69,126.69,126.69,,,,,109.2,109.2,106.92,106.92,A,A,A,A
CHRDA,Object Oriented Programming,1,1,1,1,,0,0,0,0,0,0,0,0,100,10,20,105,125,110,115,40,65,100,60,60,N/A,,83,5,0,,5.2,0,13,42,32.5,0,100,100,100,100,11.11,11.11,11.11,11.11,95.29,95.29,95.29,95.29,101.15,101.15,90.72,90.72,,,,,71.31,71.31,71.31,71.31,,,,,79.04,79.04,76.95,76.95,B-,B-,C+,C+
JOHFI,Object Oriented Programming,1,1,1,,,100,100,100,100,100,100,100,100,100,10,20,105,85,110,115,60,70,100,90,60,N/A,,87,5,3,,3.9,5,6.5,56.5,45,0,100,100,75,75,100,100,100,100,97.06,97.06,97.06,97.06,105.75,105.75,94.85,94.85,,,,,92.23,92.23,92.23,92.23,,,,,98.27,98.27,96.09,96.09,A,A,A,A
JAKGR,Object Oriented Programming,,,,,,100,100,100,100,100,100,100,100,100,10,20,105,110,120,105,80,100,100,80,70,N/A,,92,5,3,,6.5,5,16.9,54.5,87.5,0,,,0,0,100,100,100,100,105.88,105.88,105.88,105.88,111.49,111.49,100,100,,,,,133.38,133.38,133.38,133.38,,,,,111.62,111.62,109.32,109.32,A,A,A,A
AUEJO,Object Oriented Programming,1,,,,,100,100,100,100,100,100,100,100,100,10,20,110,110,125,105,100,130,100,90,70,N/A,,36,5,3,,7.8,0,14.3,40,10,0,100,100,25,25,100,100,100,100,114.12,114.12,114.12,114.12,47.13,47.13,42.27,42.27,,,,,57.77,57.77,57.77,57.77,,,,,87.33,87.33,86.36,86.36,B+,B+,B+,B+
PALLE,Object Oriented Programming,,,,,,100,100,100,100,100,100,100,100,100,10,20,110,125,140,125,100,115,0,60,70,N/A,,94,2,3,,10.4,5,16.9,44.5,65,0,,,0,0,100,100,100,100,102.94,102.94,102.94,102.94,110.34,110.34,98.97,98.97,,,,,111.38,111.38,111.38,111.38,,,,,105.67,105.67,103.39,103.39,A,A,A,A
JASPE,Object Oriented Programming,,,,,,100,100,100,100,100,100,100,100,100,10,20,110,125,140,135,100,130,100,90,80,N/A,,87,5,0,,15.6,5,24.7,54,87.5,0,,,0,0,100,100,100,100,122.35,122.35,122.35,122.35,105.75,105.75,94.85,94.85,,,,,143.69,143.69,143.69,143.69,,,,,119.95,119.95,117.77,117.77,A,A,A,A
MILRO,Object Oriented Programming,1,1,1,1,,100,100,0,100,100,100,100,100,100,10,20,85,0,140,135,100,35,100,90,80,N/A,,47,2,0,,22.1,5,26,58.5,75,0,100,100,100,100,88.89,88.89,88.89,88.89,93.53,93.53,93.53,93.53,56.32,56.32,50.52,50.52,,,,,143.54,143.54,143.54,143.54,,,,,95.39,95.39,94.23,94.23,A,A,A,A
