,,Section,ABET Outcomes  (139210),Reading Extension #1 (124263),Reading Extension #2 (124264),Quest Log Extension #1 (124261),Quest Log Extension #2 (124262),Module 1 Reading (124244),Module 2 Reading (124246),Module 3 Reading (124248),Module 4 Reading (124250),Module 5 Readings (124252),Module 6 Reading (124254),Module 7 Reading (124256),Module 8 Reading (124258),Module 9 Reading (124260),Github Username (126026),Getting Set Up With Visual Studio (before our first class) (124242),Module 1 Quest Log (124243),Module 2 Quest Log (124245),Module 3 Quest Log (124247),Module 4 Quest Log (124249),Module 5 Quest Log (124251),Attendance During Module 6 (129874),Module 6 Quest Log (124253),Module 7 Quest Log (124255),Module 8 Quest Log (124257),Module 9 Quest Log (124259),Exam 1 (128632),Exam 1 Cheat Sheet (124239),Exam 1 Bonuses (127015),Exam 2 Bonuses (130473),Final Exam Cheat Sheet (124241),final exam bonuses (130520),Final exam coding portion (133318),Final exam written part (133494),Extensions Bonus survey (132463),Course Eval Bonus (135311),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Extension Requests Current Score,Extension Requests Unposted Current Score,Extension Requests Final Score,Extension Requests Unposted Final Score,Readings Current Score,Readings Unposted Current Score,Readings Final Score,Readings Unposted Final Score,Quest Logs Current Score,Quest Logs Unposted Current Score,Quest Logs Final Score,Quest Logs Unposted Final Score,Exam 1 Current Score,Exam 1 Unposted Current Score,Exam 1 Final Score,Exam 1 Unposted Final Score,Exam 2 Current Score,Exam 2 Unposted Current Score,Exam 2 Final Score,Exam 2 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Attendance and Participation Current Score,Attendance and Participation Unposted Current Score,Attendance and Participation Final Score,Attendance and Participation Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
points possible,,,0,1,1,1,1,100,100,100,100,100,100,100,100,100,10,20,100,100,120,105,85,45,100,80,70,60,87,0,0,0,0,,70,60,0,0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
,PERBA,Object Oriented Programming,,,,1,1,100,100,100,100,0,100,100,100,100,10,20,110,125,140,110,70,15,120,70,90,80,67,,11,0,0,11.7,55,56,3.9,5.2,,,,,100,100,50,50,88.89,88.89,88.89,88.89,107.26,107.26,107.26,107.26,89.66,89.66,89.66,89.66,,,,,101.38,101.38,101.38,101.38,,,,,99.81,99.81,99.81,99.81
,KIGBE,Object Oriented Programming,,,,1,,100,100,100,100,100,100,100,100,100,10,20,110,125,140,130,100,45,130,100,90,80,69,,9,3,0,26,57.5,44,3.9,5.2,,,,,100,100,25,25,100,100,100,100,120.67,120.67,120.67,120.67,89.66,89.66,89.66,89.66,,,,,107.38,107.38,107.38,107.38,,,,,108.71,108.71,108.71,108.71
,ANYCI,Object Oriented Programming,,,,1,,100,100,100,100,100,100,100,100,100,10,20,110,125,140,135,85,45,100,0,70,60,82,,5,9,5,18.2,65,35,3.9,5.2,,,,,100,100,25,25,100,100,100,100,100.56,100.56,100.56,100.56,100,100,100,100,,,,,108.69,108.69,108.69,108.69,,,,,101.99,101.99,101.99,101.99
,JOHDU,Object Oriented Programming,,,,1,,100,100,100,100,100,100,100,100,100,10,20,105,125,140,135,100,45,100,100,90,80,92,,9,10,0,14.3,70,64,0,5.2,,,,,100,100,25,25,100,100,100,100,117.32,117.32,117.32,117.32,116.09,116.09,116.09,116.09,,,,,125.77,125.77,125.77,125.77,,,,,116.17,116.17,116.17,116.17
,JASFE,Object Oriented Programming,,,,1,,100,100,100,100,100,100,100,100,100,10,20,105,110,120,115,95,45,100,70,90,60,44,10,6,11,5,14.3,35,39,3.9,5.2,,,,,100,100,25,25,100,100,100,100,105.03,105.03,105.03,105.03,68.97,68.97,68.97,68.97,,,,,87.23,87.23,87.23,87.23,,,,,93.5,93.5,93.5,93.5
,MIMGR,Object Oriented Programming,,1,,1,1,100,100,100,100,100,100,100,100,100,10,20,110,125,130,45,80,15,100,70,0,60,74,,6,6,0,9.1,37.5,19,0,5.2,,,,,100,100,75,75,100,100,100,100,85.47,85.47,85.47,85.47,91.95,91.95,91.95,91.95,,,,,59.08,59.08,59.08,59.08,,,,,83.67,83.67,83.67,83.67
,PHEHA,Object Oriented Programming,,,,,,100,100,100,100,100,70,100,100,100,10,20,15,110,100,110,90,45,95,80,80,60,97,10,7,11,5,15.6,80,37,3.9,5.2,,,,,,,0,0,96.67,96.67,96.67,96.67,91.06,91.06,91.06,91.06,131.03,131.03,131.03,131.03,,,,,121.31,121.31,121.31,121.31,,,,,105.95,105.95,105.95,105.95
,BENKL,Object Oriented Programming,,,,,,100,100,100,100,100,100,100,100,100,10,20,110,125,140,115,90,45,100,20,90,70,97,,9,12,0,26,30,33,3.9,5.2,,,,,,,0,0,100,100,100,100,104.47,104.47,104.47,104.47,121.84,121.84,121.84,121.84,,,,,84.69,84.69,84.69,84.69,,,,,103.32,103.32,103.32,103.32
,DAYKU,Object Oriented Programming,,,,,,100,100,100,100,100,100,100,100,100,10,20,110,125,140,135,100,45,100,100,90,80,84,,9,12,0,26.6,50,57,0,5.2,,,,,,,0,0,100,100,100,100,117.88,117.88,117.88,117.88,106.9,106.9,106.9,106.9,,,,,116,116,116,116,,,,,112.62,112.62,112.62,112.62
