ID,Section,EAC 3-2  (130561),EAC 5-2  (130562),EAC 5-4 (162053),Extension #1 (130570),Extension #2 (130571),"""Yes"" or ""No"" Exam Questions Available (130550)",Exam Question Correctness Confirmations Available (130569),Exam Hint Requests Available (130568),Exam Error Detections Available (130567),Autocompletion Points Available (130552),Quest Log 1 (130576),Quest Log 2 (130577),Quest Log 3 (130578),Quest Log 4 (130579),Quest Log 5 (130580),Quest Log 6 (130581),Quest Log 7 (130582),Core Components (130560),Features (130572),Sprint 1 COA (130777),Sprint Report 1 (130787),Sprint 2 COA (130780),Sprint Report 2 (130789),Sprint 3 COA (130781),Sprint Report 3 (130790),Sprint 4 COA (130782),Sprint Report 4 (130791),Sprint 5 COA (130783),Sprint Report 5 (130792),Sprint 6 COA (130784),Sprint Report 6 (130793),Sprint 7 COA (130785),Sprint Report 7 (130794),Exam 1 (Almost free Bonus points) (130563),Exam 1 % bonuses (130564),Final Exam (Coding portion) (130573),final bonuses (130584),Exam 2 % bonuses (130566),(Bonus) Case Study 2 (155529),Course Eval completion exam bonus (+2%) (157266),Extensions Survey 2% bonus (159090),final exam (paper) (161444),ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,Extension Requests Current Score,Extension Requests Unposted Current Score,Extension Requests Final Score,Extension Requests Unposted Final Score,Perks and Buffs Current Score,Perks and Buffs Unposted Current Score,Perks and Buffs Final Score,Perks and Buffs Unposted Final Score,Quest Logs Current Score,Quest Logs Unposted Current Score,Quest Logs Final Score,Quest Logs Unposted Final Score,RPG Project Current Score,RPG Project Unposted Current Score,RPG Project Final Score,RPG Project Unposted Final Score,Other Stuff Current Score,Other Stuff Unposted Current Score,Other Stuff Final Score,Other Stuff Unposted Final Score,Exams 1 and 2 Current Score,Exams 1 and 2 Unposted Current Score,Exams 1 and 2 Final Score,Exams 1 and 2 Unposted Final Score,Final Current Score,Final Unposted Current Score,Final Final Score,Final Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
points possible,,4,4,4,0,0,0,0,0,0,0,80,60,100,125,120,110,50,300,150,20,60,20,60,20,60,20,60,20,60,20,60,20,60,130,0,40,0,0,0,2,0,190,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
FINAH,Data Structures,4,4,4,1,0,2,2,0,0,110,80,75,110,145,160,110,50,300,150,20,60,20,60,20,60,20,60,20,60,10,60,20,60,108,9,50,4,3,5,2,2,176,100,100,100,100,,,,,,,,,136.45,136.45,136.45,136.45,99.01,99.01,99.01,99.01,,,,,90,90,90,90,104.31,104.31,104.31,104.31,117.17,117.17,117.17,117.17,A,A,A,A
PERAR,Data Structures,0,4,2,1,1,3,2,1,0,15,80,75,120,165,60,30,0,300,195,20,60,20,50,20,60,20,60,20,60,15,50,20,60,117,1,0,0,0,0,0,2,122,50,50,50,50,,,,,,,,,96.26,96.26,96.26,96.26,101.98,101.98,101.98,101.98,,,,,90.77,90.77,90.77,90.77,53.45,53.45,53.45,53.45,90.16,90.16,90.16,90.16,A-,A-,A-,A-
PERBA,Data Structures,0,3,1,1,1,1,1,1,0,25,60,40,120,0,15,0,0,300,165,20,60,0,60,20,20,17,60,20,20,17,20,20,60,92,2,0,0,0,5,0,0,0,33.33,33.33,33.33,33.33,,,,,,,,,50,50,50,50,87.03,87.03,87.03,87.03,,,,,72.31,72.31,72.31,72.31,2.16,2.16,2.16,2.16,53.58,53.58,53.58,53.58,F,F,F,F
KIGBE,Data Structures,1,3,3,1,1,2,1,0,0,20,80,75,110,45,75,85,0,300,135,20,60,20,0,20,20,20,10,0,0,10,60,17,60,130,3,30,0,0,5,2,2,142,58.33,58.33,58.33,58.33,,,,,,,,,85.58,85.58,85.58,85.58,74.46,74.46,74.46,74.46,,,,,102.31,102.31,102.31,102.31,78.02,78.02,78.02,78.02,84.73,84.73,84.73,84.73,B,B,B,B
ANYCI,Data Structures,4,3,3,1,1,2,1,1,0,50,80,75,120,145,140,110,40,300,135,20,60,20,0,20,20,20,10,0,0,10,60,17,60,68,8,0,0,2,0,2,2,184,83.33,83.33,83.33,83.33,,,,,,,,,121.5,121.5,121.5,121.5,74.46,74.46,74.46,74.46,,,,,58.46,58.46,58.46,58.46,81.9,81.9,81.9,81.9,96.69,96.69,96.69,96.69,A,A,A,A
CHRDA,Data Structures,0,1,1,1,1,0,2,0,0,0,0,40,50,64.48,89,0,0,0,0,20,60,20,50,20,0,0,0,0,20,5,0,0,0,105,2,0,0,0,5,0,2,0,16.67,16.67,16.67,16.67,,,,,,,,,45.51,45.51,45.51,45.51,19.31,19.31,19.31,19.31,,,,,82.31,82.31,82.31,82.31,3.02,3.02,3.02,3.02,39.42,39.42,39.42,39.42,F,F,F,F
JASFE,Data Structures,3,3,2,1,1,2,2,0,0,20,80,60,120,145,145,110,0,300,210,20,60,20,50,20,60,20,60,20,50,20,60,20,43.35,102,4,0,0,5,0,2,2,135,66.67,66.67,66.67,66.67,,,,,,,,,114.29,114.29,114.29,114.29,102.31,102.31,102.31,102.31,,,,,81.54,81.54,81.54,81.54,62.07,62.07,62.07,62.07,99.15,99.15,99.15,99.15,A,A,A,A
JAKGR,Data Structures,3,3,3,1,0,4,2,0,0,105,80,75,80,125,105,105,50,300,135,20,60,20,0,20,20,20,10,0,0,10,60,17,60,123,5,0,8,4,5,0,2,145,75,75,75,75,,,,,,,,,118.35,118.35,118.35,118.35,74.46,74.46,74.46,74.46,,,,,98.46,98.46,98.46,98.46,70.69,70.69,70.69,70.69,99.44,99.44,99.44,99.44,A,A,A,A
PHEHA,Data Structures,0,4,2,0,0,0,2,1,0,105,60,0,74.4,145,100,105,50,300,210,20,60,20,60,20,60,15,60,20,60,5,51,17,60,53,1,40,10,2,0,0,2,97,50,50,50,50,,,,,,,,,109.3,109.3,109.3,109.3,102.77,102.77,102.77,102.77,,,,,41.54,41.54,41.54,41.54,65.09,65.09,65.09,65.09,91.2,91.2,91.2,91.2,A-,A-,A-,A-
