ID,Section,Reading Extension #1 (119142),Reading Extension #2 (119143),Homework Extension #1 (119140),Homework Extension #2 (119141),ABET Outcomes  (139211),Attendance Tuesday 10/22 (129870),Attendance Thursday 10/24 (129871),Module 1 Homework (115058),Module 2 Homework (115060),Module 3 Homework (115062),Module 4 Homework (115064),Module 5 Homework (115066),Module 1 Reading (114996),Module 2 Reading (115059),Module 3 Reading 1 (115061),Module 3 Reading 2 (115069),Module 4 Reading 1 (115063),Module 4 Reading 2 (115070),Module 5 Reading (115065),Quiz Score Check-In 1 (126683),Quiz Score Check-In 2 (127781),Exam 1 Written component (128857),Exam 1 SQL component (128858),Midterm Cheat Sheet (119148),DB Design Project (119144),Extensions Bonus survey (132461),Final Exam Cheat Sheet (119149),Final Exam (Submit here) (133310),Course Eval Bonus (135313),Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Homework Current Score,Homework Unposted Current Score,Homework Final Score,Homework Unposted Final Score,Readings Current Score,Readings Unposted Current Score,Readings Final Score,Readings Unposted Final Score,Quiz Sheet Submissions Current Score,Quiz Sheet Submissions Unposted Current Score,Quiz Sheet Submissions Final Score,Quiz Sheet Submissions Unposted Final Score,Midterm Current Score,Midterm Unposted Current Score,Midterm Final Score,Midterm Unposted Final Score,Database Design Project Current Score,Database Design Project Unposted Current Score,Database Design Project Final Score,Database Design Project Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Attendance and Participation Current Score,Attendance and Participation Unposted Current Score,Attendance and Participation Final Score,Attendance and Participation Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
points possible,,1,1,1,1,0,,,150,160,150,150,130,100,100,100,100,100,100,100,100,100,127,100,0,70,0,0,100,0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
FINAH,DB & Information Processing Systems,1,1,1,1,,,,150,160,150,150,130,100,100,100,100,100,100,100,100,100,127,100,,70,3,10,107,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,124,124,124,124,,,,,104.8,104.8,104.8,104.8
DOCAN,DB & Information Processing Systems,,,,,,,,150,185,182,170,130,0,100,100,100,100,100,100,100,100,112,85,,82,3,10,100,4,,,0,0,110.41,110.41,110.41,110.41,85.71,85.71,85.71,85.71,100,100,100,100,86.78,86.78,86.78,86.78,117.14,117.14,117.14,117.14,117,117,117,117,,,,,103.27,103.27,103.27,103.27
DYNBA,DB & Information Processing Systems,,,,,,,,150,160,150,150,130,100,100,100,100,100,100,100,100,100,112,95,,87,3,10,86,4,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,91.19,91.19,91.19,91.19,124.29,124.29,124.29,124.29,103,103,103,103,,,,,102.48,102.48,102.48,102.48
DRWBE,DB & Information Processing Systems,1,,1,,,,,150,160,150,150,130,100,100,100,100,100,100,100,100,100,118,98,,80,3,10,79,4,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,95.15,95.15,95.15,95.15,114.29,114.29,114.29,114.29,96,96,96,96,,,,,100.37,100.37,100.37,100.37
JUACO,DB & Information Processing Systems,1,,1,1,,,,150,165,150,150,130,100,100,100,100,100,100,100,100,100,117,75,,70,0,10,95,4,100,100,75,75,100.68,100.68,100.68,100.68,100,100,100,100,100,100,100,100,84.58,84.58,84.58,84.58,100,100,100,100,109,109,109,109,,,,,98.85,98.85,98.85,98.85
JOAFO,DB & Information Processing Systems,,,,,,,,150,160,157.5,150,130,100,100,100,100,100,100,100,100,100,127,95,,70,3,10,93,4,,,0,0,101.01,101.01,101.01,101.01,100,100,100,100,100,100,100,100,97.8,97.8,97.8,97.8,100,100,100,100,110,110,110,110,,,,,101.76,101.76,101.76,101.76
DADGR,DB & Information Processing Systems,1,,1,,,,,150,160,150,150,130,100,100,100,100,100,100,100,100,100,105,70,,80,0,0,85,4,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,77.09,77.09,77.09,77.09,114.29,114.29,114.29,114.29,89,89,89,89,,,,,95.36,95.36,95.36,95.36
JAKGR,DB & Information Processing Systems,1,,,,,,,150,160,150,150,130,100,100,100,100,100,100,100,100,100,112,60,10,70,0,10,100,4,100,100,25,25,100,100,100,100,100,100,100,100,100,100,100,100,80.18,80.18,80.18,80.18,100,100,100,100,114,114,114,114,,,,,98.84,98.84,98.84,98.84
RIAHA,DB & Information Processing Systems,1,,1,,,,,150,160,150,150,130,100,100,100,100,100,100,100,100,100,122,100,,70,3,10,107,4,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,97.8,97.8,97.8,97.8,100,100,100,100,124,124,124,124,,,,,104.36,104.36,104.36,104.36
ELYJI,DB & Information Processing Systems,,,1,1,,,,150,160,155,150,130,100,100,100,70,100,100,100,100,100,102,55,,70,3,10,48,4,100,100,50,50,100.68,100.68,100.68,100.68,95.71,95.71,95.71,95.71,100,100,100,100,69.16,69.16,69.16,69.16,100,100,100,100,65,65,65,65,,,,,86.32,86.32,86.32,86.32
DALKO,DB & Information Processing Systems,1,,1,,,,,150,160,150,150,130,100,100,100,100,100,85,100,100,100,99,100,,80,3,10,85,4,100,100,50,50,100,100,100,100,97.86,97.86,97.86,97.86,100,100,100,100,87.67,87.67,87.67,87.67,114.29,114.29,114.29,114.29,102,102,102,102,,,,,99.75,99.75,99.75,99.75
TARLI,DB & Information Processing Systems,1,1,1,1,,,,150,160,150,150,130,100,100,100,100,100,100,100,100,100,84.5,90,,70,3,10,107,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,76.87,76.87,76.87,76.87,100,100,100,100,124,124,124,124,,,,,100.17,100.17,100.17,100.17
