ID,Section,Extension 1 (138730),Extension 2 (138731),M6D1 - PreClass Prep (22 mins) (141639),M6D2 - PreClass Prep (10 mins) (149773),Module 2 Exercises (138725),Module 3 Exercises (138726),Module 4 Exercises (140735),Module 5 Project: Step 1 (140731),Module 5 Project: Steps 2 and 3 (140732),Module 5 Project: Step 4 (140733),Module 5 Project: Steps 5 - 9 (technically can complete steps 7-8 immediately after step 4) (140734),Module 6 Exercises (149810),Module 7 Notes (149829),M7D1 - PreClass Prep (required) (30-60 minutes) (149830),M7D2 - PreClass Prep (required) (30-60 minutes) (149833),M7D3 - PreClass Prep (required) (30-60 minutes) (149834),Project 1 - Event-Driven Programming (149812),Project 2 - Functional Programming (149813),Project 3 - Concurrent Programming (149814),Project Presentation (149815),Midterm (with free +3 bonus if you upload your stuff) (157095),Course Eval Bonus (157371),Extensions Survey 2% bonus (159091),Final Exam (160259),M2D1 - PreClass Prep (15 min completion time) (138727),M2D2 - PreClass Prep (7 min) (138728),M2D3 - PreClass Prep (21 mins) (Important if you don't want to struggle today!) (138729),M3D1 - PreClass Prep (15 minutes) (138732),M3D2 - PreClass Prep (5 min) (138733),M3D3 - PreClass Prep (14 min) (138734),M5D1 - PreClass Prep (21 mins) (140678),M5D2 - PreClass Prep (17 min) (140730),EAC 3-1 (162028),EAC 3-2 (162029),EAC 2-2 (162033),Extensions and Other Ungraded Current Score,Extensions and Other Ungraded Unposted Current Score,Extensions and Other Ungraded Final Score,Extensions and Other Ungraded Unposted Final Score,Exercise Sets Current Score,Exercise Sets Unposted Current Score,Exercise Sets Final Score,Exercise Sets Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm and Final Current Score,Midterm and Final Unposted Current Score,Midterm and Final Final Score,Midterm and Final Unposted Final Score,PreClass Prep Current Score,PreClass Prep Unposted Current Score,PreClass Prep Final Score,PreClass Prep Unposted Final Score,ABET Stuff Current Score,ABET Stuff Unposted Current Score,ABET Stuff Final Score,ABET Stuff Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
points possible,,0,0,0,0,180,160,90,20,40,20,80,80,300,0,0,0,200,200,200,250,110,2,0,160,0,0,0,0,0,0,0,0,4,4,4,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
NISBA,Programming Languages,1,1,,,180,160,30,20,40,20,80,80,300,,,,200,200,200,250,106,2,0,158,,,,,0,,,,4,4,3,,,,,93.81,93.81,93.81,93.81,100,100,100,100,97.79,97.79,97.79,97.79,,,,,91.67,91.67,91.67,91.67,97.48,97.48,97.48,97.48,A,A,A,A
CHRBA,Programming Languages,1,,,,180,160,65,20,10,20,55,80,0,,,,200,200,200,250,55,0,0,128,,0,,,,,,,2,2,3,,,,,60.82,60.82,60.82,60.82,100,100,100,100,67.28,67.28,67.28,67.28,,,,,58.33,58.33,58.33,58.33,78.43,78.43,78.43,78.43,C+,C+,C+,C+
BONBE,Programming Languages,1,1,,,180,160,60,20,30,17,70,80,300,,,,200,200,200,240,123,2,2,172,,,,,,,,,4,4,3,,,,,94.54,94.54,94.54,94.54,98.82,98.82,98.82,98.82,109.93,109.93,109.93,109.93,,,,,91.67,91.67,91.67,91.67,100.87,100.87,100.87,100.87,A,A,A,A
DRWBE,Programming Languages,1,1,,,180,160,90,20,40,20,100,68,300,,,,200,200,200,240,104,0,2,136,0,0,0,0,,,0,0,4,2,3,,,,,100.82,100.82,100.82,100.82,98.82,98.82,98.82,98.82,88.97,88.97,88.97,88.97,,,,,75,75,75,75,96.47,96.47,96.47,96.47,A,A,A,A
GRTBY,Programming Languages,,,,,30,80,0,20,35,20,59.5,80,300,,,,200,200,200,250,83,0,0,134,0,,,,,,,,3,2,2,,,,,64.38,64.38,64.38,64.38,100,100,100,100,79.78,79.78,79.78,79.78,,,,,58.33,58.33,58.33,58.33,83.25,83.25,83.25,83.25,B-,B-,B-,B-
JUACO,Programming Languages,,,,,120,160,70,20,35,20,100,80,300,,,,200,200,200,250,101,2,0,143,0,0,0,0,,,0,,4,4,4,,,,,93.3,93.3,93.3,93.3,100,100,100,100,90.44,90.44,90.44,90.44,,,,,100,100,100,100,95.12,95.12,95.12,95.12,A,A,A,A
HEYCO,Programming Languages,,,,,180,160,90,20,40,20,80,80,300,,,,200,200,100,250,122,2,2,135,0,,0,,0,,,,3,3,4,,,,,100,100,100,100,88.24,88.24,88.24,88.24,95.96,95.96,95.96,95.96,,,,,83.33,83.33,83.33,83.33,94.08,94.08,94.08,94.08,A,A,A,A
EYMDA,Programming Languages,1,1,,,186.66,130,90,20,40,20,20,0,0,,,,200,0,0,250,114,0,2,141,0,,,,,,0,0,2,4,3,,,,,52.23,52.23,52.23,52.23,52.94,52.94,52.94,52.94,94.49,94.49,94.49,94.49,,,,,75,75,75,75,65.19,65.19,65.19,65.19,D,D,D,D
TYRDE,Programming Languages,,,,,200,160,120,20,40,20,100,80,300,,,,200,200,200,250,119,2,2,144,0,,0,,,,,,4,4,4,,,,,107.22,107.22,107.22,107.22,100,100,100,100,98.16,98.16,98.16,98.16,,,,,100,100,100,100,101.61,101.61,101.61,101.61,A,A,A,A
JOAFO,Programming Languages,,,,,180,160,90,20,40,20,80,80,300,,,,200,200,200,250,100,2,2,147,0,0,0,0,0,,0,0,4,4,3,,,,,100,100,100,100,100,100,100,100,92.28,92.28,92.28,92.28,,,,,91.67,91.67,91.67,91.67,97.68,97.68,97.68,97.68,A,A,A,A
DADGR,Programming Languages,1,1,,,180,160,0,20,40,20,80,80,300,,,,200,200,200,250,105,0,0,161,0,0,0,,,,0,0,4,4,4,,,,,90.72,90.72,90.72,90.72,100,100,100,100,97.79,97.79,97.79,97.79,,,,,100,100,100,100,96.55,96.55,96.55,96.55,A,A,A,A
