ID,Section,Reading Extension #1 (119134),Reading Extension #2 (119135),Assignment Extension #1 (119132),Assignment Extension #2 (119133),ABET Outcomes  (139024),Notes from video (129196),"Module 2 ""Reading"" (110386)",Module 3 Readings (this might take longer) (110563),Module 4 Readings (110564),Module 5 Readings (110718),Module 6 Readings (with bonus) (110719),Module 9 Readings (125670),"Module 10 ""Reading"" (125887)",Module 7 Readings (128288),Module 8 Readings (128296),Module 11 Reading (128302),Attendance for Hash Tables Week (129195),Exercise Set 1 - Mods 1 and 2 (120406),Exercise Set 2 - Mod 3 (120460),Exercise Set 3 - Mod 4 (120461),Exercise Set 4 - Mod 5 and 6 (120462),Exercise Set 5: Hash Tables (128294),Exercise Set 6: Dynamic Programming (128295),Exercise Set 7: Greedy Algorithms (128297),Exercise Set 8: Elementary Graph Algos (128298),Exercise Set 9: Minimum Spanning Trees (128300),Exam 1 (128925),Extensions Bonus survey (132459),"(Bonus Reading!) Reductions, NP completeness, and P=NP (128306)",final exam bonus (130980),Final Exam (134168),Course Eval Bonus (135314),Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Readings Current Score,Readings Unposted Current Score,Readings Final Score,Readings Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Exams 1 and 2 Current Score,Exams 1 and 2 Unposted Current Score,Exams 1 and 2 Final Score,Exams 1 and 2 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Attendance Current Score,Attendance Unposted Current Score,Attendance Final Score,Attendance Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
points possible,,1,1,1,1,0,50,120,100,50,100,180,100,100,100,100,100,30,130,110,85,120,100,60,100,100,50,155,0,9.25,0,185,0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
MILAR,Algorithms and Complexity,1,,1,1,,50,120,100,50,100,180,100,100,100,100,100,30,100,110,85,120,100,60,60,100,120,90.65,5.55,9.25,12.95,92,5.55,100,100,75,75,100,100,100,100,100,100,100,100,58.48,58.48,58.48,58.48,64.5,64.5,64.5,64.5,,,,,88.45,88.45,88.45,88.45,B+,B+,B+,B+
CHRBA,Algorithms and Complexity,1,,1,1,,50,120,100,50,100,180,100,100,100,100,100,30,150,110,30,120,60,60,120,100,50,129,,0,7.4,139,5.55,100,100,75,75,100,100,100,100,93.79,93.79,93.79,93.79,83.23,83.23,83.23,83.23,78.22,78.22,78.22,78.22,,,,,91.42,91.42,91.42,91.42,A-,A-,A-,A-
BONBE,Algorithms and Complexity,,,1,1,,50,120,100,50,100,180,100,100,100,100,100,30,140,110,15,120,70,60,120,60,120,128,5.55,0,12.95,157,5.55,100,100,50,50,100,100,100,100,95.48,95.48,95.48,95.48,82.58,82.58,82.58,82.58,93.2,93.2,93.2,93.2,,,,,94.33,94.33,94.33,94.33,A,A,A,A
GRTBY,Algorithms and Complexity,1,,1,,,50,120,100,50,40,180,100,100,70,40,70,30,115,120,85,120,85,60,90,100,40,165,5.55,0,7.4,160,5.55,100,100,50,50,83.64,83.64,83.64,83.64,95.48,95.48,95.48,95.48,106.45,106.45,106.45,106.45,91.89,91.89,91.89,91.89,,,,,93.63,93.63,93.63,93.63,A-,A-,A-,A-
TYRDE,Algorithms and Complexity,,,,,,50,120,100,50,100,180,100,100,100,100,100,30,150,110,85,120,70,60,100,100,100,165,5.55,0,7.4,172,5.55,,,0,0,100,100,100,100,104.52,104.52,104.52,104.52,106.45,106.45,106.45,106.45,98.07,98.07,98.07,98.07,,,,,102.71,102.71,102.71,102.71,A,A,A,A
JOHEB,Algorithms and Complexity,,,1,,,50,120,100,50,100,180,100,100,100,100,100,30,150,110,85,120,100,60,120,100,120,165.85,5.55,0,16.65,186,5.55,100,100,25,25,100,100,100,100,112.43,112.43,112.43,112.43,107,107,107,107,110.04,110.04,110.04,110.04,,,,,108.15,108.15,108.15,108.15,A,A,A,A
TEAHA,Algorithms and Complexity,1,,1,,,50,120,100,50,100,126,100,100,100,100,85,30,150,110,55,120,70,60,120,100,120,119,,0,16.65,173,5.55,100,100,50,50,93.73,93.73,93.73,93.73,105.65,105.65,105.65,105.65,76.77,76.77,76.77,76.77,100.49,100.49,100.49,100.49,,,,,97.56,97.56,97.56,97.56,A,A,A,A
MAWNO,Algorithms and Complexity,1,1,1,1,,0,120,100,50,100,180,100,100,100,100,85,15,27,60,85,120,100,60,90,100,50,98,5.55,0,7.4,111.5,5.55,100,100,100,100,94.09,94.09,94.09,94.09,79.89,79.89,79.89,79.89,63.23,63.23,63.23,63.23,66.92,66.92,66.92,66.92,,,,,78.99,78.99,78.99,78.99,C+,C+,C+,C+
THRPI,Algorithms and Complexity,1,1,1,1,,50,120,100,50,100,180,100,100,100,100,100,30,130,110,55,120,60,60,120,100,50,93,5.55,9.25,7.4,121,5.55,100,100,100,100,100,100,100,100,94.35,94.35,94.35,94.35,60,60,60,60,76.58,76.58,76.58,76.58,,,,,87.94,87.94,87.94,87.94,B+,B+,B+,B+
