Id,Class,Preferred_EX_Length,Reason_Used,Process_Difficulty,Comfortability,Importance_Meeting_OG_Deadline,Pressure_Meeting_OG_Deadline,Pressure_Felt_To_CompleteHW,Importance_Meeting_Deadlines_OtherClasses,Importance_Meeting_Deadlines_OtherClasses_STRICT,Extension_Pressure_Impact,Preferred_HW_EX_AMT,Preferred_Read_EX_AMT,HW_ImportanceValue,Reason_One_EX_Leftover,Reason_No_EX_Used,Majority_of_Homework_DoneBy,Extension_Impact_onQuality,Strict_Deadline_Effect,Should_Extensions_In_All_CSCSFE,Should_Extensions_In_AllCourses,Year,Age,Est_GPA,HS_Type,num_exts,ext_1_reqd_correctly,ext_2_reqd_correctly,days_after_ ext_1_sub,days_after_ext_2_sub,num_of_late_submissions,num_of_late_submissions_with_extensions,num_of_late_submissions_without_extensions,num_of_no_submissions_with_extensions,num_of_no_submissions_without_extensions,Final_Score,Final_Exam_Score
1,CSC 144: Object Oriented Programming,3 Days,"It was the end of the semester, I was with a girl and I got all my work done except the reading. I decided to take an extension and do it later.;",Very Straightforward and Easy,Very comfortable,Extremely Important,Exceptionally High Pressure,Zero Pressure,Extremely Important,Exceptionally High Pressure,Eliminated the pressure completely,2,3,not at all,"I didn't need it, so I didn't take it;",,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,No;,Freshman,18,3.5 - 4.0,Homeschool;,0,0,0,0,0,0,0,0,0,0,86.36,57.77
2,CSC 261: Databases,One week,I didn't take an extension at all;,,,Extremely Important,,,,Exceptionally High Pressure,,2,2,not at all,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;",3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,Yes;,Junior,19,3.5 - 4.0,Private Religious High School;,0,0,0,0,0,0,0,0,0,0,98.55,100
3,CSC 144: Object Oriented Programming,3 Days,Emergency or family concerns;I had other assignments due around the same time;,Very Straightforward and Easy,Very uncomfortable,Extremely Important,,,Extremely Important,,,3,1,not at all,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;",,3 days before the deadline,,,Yes;,Yes;,Freshman,19,,Private Religious High School;,0,0,0,0,0,1,0,1,0,0,94.96,98.15
4,CSC 261: Databases,One week,"Emergency or family concerns;I waited too long to start the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",Very Straightforward and Easy,Somewhat uncomfortable,,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,Yes;,Sophomore,19,3.5 - 4.0,Homeschool;,2,1,5,6.46,6.94,2,2,0,0,0,102.65,117
5,CSC 261: Databases,One week,I didn't take an extension at all;,,,Extremely Important,,,Extremely Important,Exceptionally High Pressure,,3,2,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;",LESS THAN 1 day before the deadline,,This policy would make the course significantly worse,Yes;,Yes;,Junior,20,3.5 - 4.0,Public High School;,0,0,0,0,0,0,0,0,0,0,102.48,103
6,CSC 144: Object Oriented Programming,More than one week,"I had other assignments due around the same time;I started the assignment early enough, but waited too long to get most of it done;Midterms were around the corner and needed to study more than work on assignments.;",Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,,Extremely Important,,,2,1,"yes, a little bit",,,3 days before the deadline,,This policy would make the course significantly worse,Yes;,No;,Senior,24+,3.5 - 4.0,Private Religious High School;,2,4,5,5.98,6.41,3,2,1,0,0,99.06,92.38
7,CSC 261: Databases,One week,"I started the assignment early enough, but waited too long to get most of it done;I wanted more time to do a better job on the assignment, or get more work done on it;It was convenient! ;",,Very comfortable,,,,,,,2,2,not really,,,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,"Yes, but with changes (include changes in ""other"" option below);maybe only one per week for other majors;",Freshman,18,3.0 - 3.49,Homeschool;,1,4,0,0.96,0,1,1,0,0,0,99.75,102
8,CSC 261: Databases,One week,I had other assignments due around the same time;I waited too long to start the assignment;,Very Straightforward and Easy,Very uncomfortable,,,,,,,2,2,not at all,,,1 day before the deadline,,This policy would not impact the quality of the course overall,Yes;,Yes;,Senior,22,3.5 - 4.0,Private Non-Religious High School;Public High School;,2,3,4,6.99,6.95,2,2,0,0,0,105.05,119
9,CSC 261: Databases,One week,"I had other assignments due around the same time;Emergency or family concerns;I wanted more time to do a better job on the assignment, or get more work done on it;",Very Straightforward and Easy,Very comfortable,Extremely Important,Zero Pressure,Zero Pressure,Extremely Important,Zero Pressure,It increased the pressure greatly,2,2,not at all,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,Yes;,Senior,21,3.0 - 3.49,Homeschool;,2,1,2,6.84,6.91,2,2,0,0,0,104.8,124
10,CSC 261: Databases,3 Days,"I had other assignments due around the same time;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",Very Straightforward and Easy,Somewhat uncomfortable,,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,It increased the pressure greatly,3,3,not really,"I wanted to save it for an emergency;I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;",,2 days before the deadline,Made the course significantly better,This policy would not impact the quality of the course overall,Yes;,Yes;,Freshman,19,3.5 - 4.0,Homeschool;,1,5,0,6.07,0,1,1,0,0,0,100.37,96
11,CSC 261: Databases,5 Days,"I had other assignments due around the same time;I waited too long to start the assignment;Emergency or family concerns;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I could have completed it on time, but I didn't want the pressure;",,Very comfortable,Not at all important,,Zero Pressure,,,It made no impact one way or another,2,2,not really,,,LESS THAN 1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,"Yes, but with changes (include changes in ""other"" option below);Depends on the assignment, I don't think you should get handouts with more important work in classes.;",Senior,23,2.5 - 2.99,Public High School;,2,1,3,4.49,6.86,2,2,0,0,0,100.17,124
12,CSC 261: Databases,One week,I waited too long to start the assignment;I had other assignments due around the same time;I forgot the assignment was due;,Very Straightforward and Easy,Very comfortable,,,,,,,2,2,not at all,"I didn't need it, so I didn't take it;I wanted to save it for an emergency;",,LESS THAN 1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,Yes;,Senior,19,3.0 - 3.49,Homeschool;Dual Enrollment/Early Admissions;,0,0,0,0,0,1,0,1,0,0,103.27,117
14,CSC 261: Databases,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I waited too long to start the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it;",,2 days before the deadline,,,Yes;,No;,Sophomore,19,3.5 - 4.0,Private Religious High School;,1,3,0,7,0,2,1,1,0,0,100.76,115
15,CSC 261: Databases,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure;I started the assignment early enough, but waited too long to get most of it done;Had retreat over a weekend and wanted to focus on that ;",Very Straightforward and Easy,Very comfortable,Extremely Important,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,"Yes, but with changes (include changes in ""other"" option below);If it is an essay, depending on the progress of the essay, it could be a couple days instead of a week;",Junior,23,3.5 - 4.0,Public High School;,2,4,5,6.9,1.9,2,2,0,0,0,98.85,109
16,CSC 261: Databases,One week,I didn't take an extension at all;,,,Extremely Important,,,,,,2,2,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;",3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,No;,Sophomore,19,3.5 - 4.0,Private Religious High School;,0,0,0,0,0,0,0,0,0,0,101.76,110
17,CSC 144: Object Oriented Programming,2 Days,I didn't take an extension at all;,,,,,,Extremely Important,Exceptionally High Pressure,,1,2,not at all,,"I didn't need them at all, so I didn't take them;",5 OR MORE days before the deadline,,,Yes;,Yes;,Freshman,19,4.0+,Private Religious High School;,0,0,0,0,0,0,0,0,0,0,117.77,143.69
18,CSC 261: Databases,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure;",Very Straightforward and Easy,Somewhat comfortable,,,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;",,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,No;,Sophomore,19,3.0 - 3.49,Public High School;Homeschool;,2,5,5,12.4,12.4,1,1,0,0,0,102.95,117
19,CSC 261: Databases,One week,"I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I could have completed it on time, but I didn't want the pressure;I wanted more time to do a better job on the assignment, or get more work done on it;",Very Straightforward and Easy,Very comfortable,Extremely Important,,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,"I didn't need it, so I didn't take it;I wanted to save it for an emergency;",,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes;,Very much depends on the class;,Freshman,18,4.0+,Private Religious High School;,1,5,0,6.94,0,1,1,0,0,0,104.36,124
20,CSC 261: Databases,One week,"I started the assignment early enough, but waited too long to get most of it done;I waited too long to start the assignment;",,Very comfortable,,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,1 day before the deadline,Made the course significantly better,,Yes;,"Yes, but with changes (include changes in ""other"" option below);There would need to be some kind of adjustment for classes with a lot of assignments that are easy to fall behind if you try doing two weeks of homework at once.;",Sophomore,24+,3.0 - 3.49,Homeschool;G.E.D.;,2,3,4,6.94,6.99,2,2,0,0,0,101.79,101
21,CSC 261: Databases,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;I could have completed it on time, but I didn't want the pressure;",,Very uncomfortable,,,,,Exceptionally High Pressure,,3,3,"yes, a little bit","I didn't need it, so I didn't take it;",,4 days before the deadline,Made the course significantly better,,Yes;,Yes;,Sophomore,19,2.0 - 2.49,Homeschool;,,,,,,,,,,,,
22,CSC 261: Databases,One week,i'm not sure at this point;,Very Straightforward and Easy,Very uncomfortable,,,,,,,3,3,"yes, a little bit","I didn't need it, so I didn't take it;",,1 day before the deadline,,,Yes;,Yes;,Junior,23,3.5 - 4.0,Public High School;,1,5,0,6.99,0,1,1,0,0,0,95.36,89
